
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 1404      0.00      0.00   -233.63 1422    0 1405    0  plain   wall  plain   wall
Object:   OBJ00001   1404      dQm   -50.00    mineral     5.00    10.00        dayglo-orange       cube     medium             
Object:   OBJ00002   1404      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00003   1404      VQt    10.00    mineral     0.10     0.10            olivedrab       cube       tiny             
Object:   OBJ00004   1404      VQm    10.00    mineral     5.00    10.00            olivedrab       cube     medium             
Object:   OBJ00005   1404      aPt    10.00    mineral     0.10     0.10                 aqua    pyramid       tiny             
Object:   OBJ00006   1404      aPs    10.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00007   1404      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00008   1404      dQt    10.00    mineral     0.10     0.10        dayglo-orange       cube       tiny             
Object:   OBJ00009   1404      VQm    10.00    mineral     5.00    10.00            olivedrab       cube     medium             
Object:   OBJ00010   1404      aQm    10.00    mineral     5.00    10.00                 aqua       cube     medium             
Object:   OBJ00011   1404      dPm    50.00    mineral     5.00    10.00        dayglo-orange    pyramid     medium             
Object:   OBJ00012   1404      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00013   1404      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00014   1404      dPm   -50.00    mineral     5.00    10.00        dayglo-orange    pyramid     medium             
Object:   OBJ00015   1404      d1s    50.00     animal     1.00     1.00        dayglo-orange      moped      small             
Object:   OBJ00016   1404      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00017   1404      aQt    10.00    mineral     0.10     0.10                 aqua       cube       tiny             
Object:   OBJ00018   1404      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00019   1404      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00020   1404      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Cell: 1405   1000.00      0.00   -154.68 1423    0 1406 1404  plain   wall  plain  plain
Object:   OBJ00021   1405      a1m    10.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00022   1405      a1m   -50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00023   1405      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00024   1405      aPs    10.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00025   1405      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00026   1405      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00027   1405      dQs    50.00    mineral     1.00     1.00        dayglo-orange       cube      small             
Object:   OBJ00028   1405      aPt    10.00    mineral     0.10     0.10                 aqua    pyramid       tiny             
Object:   OBJ00029   1405      aPs    10.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00030   1405      aQm    10.00    mineral     5.00    10.00                 aqua       cube     medium             
Object:   OBJ00031   1405      aQm    50.00    mineral     5.00    10.00                 aqua       cube     medium             
Object:   OBJ00032   1405      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00033   1405      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00034   1405      d1s    50.00     animal     1.00     1.00        dayglo-orange      moped      small             
Object:   OBJ00035   1405      d1m   -50.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00036   1405      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00037   1405      aQm    10.00    mineral     5.00    10.00                 aqua       cube     medium             
Object:   OBJ00038   1405      aQt    10.00    mineral     0.10     0.10                 aqua       cube       tiny             
Object:   OBJ00039   1405      aPm    10.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00040   1405      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Cell: 1406   2000.00      0.00   -191.22 1424    0 1407 1405  plain   wall  plain  plain
Object:   OBJ00041   1406      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00042   1406      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00043   1406      d1s    50.00     animal     1.00     1.00        dayglo-orange      moped      small             
Object:   OBJ00044   1406      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00045   1406      dPm    50.00    mineral     5.00    10.00        dayglo-orange    pyramid     medium             
Object:   OBJ00046   1406      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00047   1406      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00048   1406      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00049   1406      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00050   1406      aPs    50.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00051   1406      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00052   1406      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00053   1406      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00054   1406      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00055   1406      a1m   -50.00     animal     5.00    10.00                 aqua      moped     medium             
Object:   OBJ00056   1406      aQt    10.00    mineral     0.10     0.10                 aqua       cube       tiny             
Object:   OBJ00057   1406      d1s    10.00     animal     1.00     1.00        dayglo-orange      moped      small             
Object:   OBJ00058   1406      aPs    10.00    mineral     1.00     1.00                 aqua    pyramid      small             
Object:   OBJ00059   1406      aPm    50.00    mineral     5.00    10.00                 aqua    pyramid     medium             
Object:   OBJ00060   1406      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
