
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 1912      0.00      0.00    325.86 1931    0 1913    0    mud   wall  plain   wall
Object:   OBJ00001   1912      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00002   1912      c1s    10.00     animal     1.00     1.00                 cyan      moped      small             
Object:   OBJ00003   1912      fPm   -50.00    mineral     5.00    10.00              fuchsia    pyramid     medium             
Object:   OBJ00004   1912      c1t   -50.00     animal     0.10     0.10                 cyan      moped       tiny             
Object:   OBJ00005   1912      drm   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00006   1912      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00007   1912      c1s    10.00     animal     1.00     1.00                 cyan      moped      small             
Object:   OBJ00008   1912      frt   -50.00    mineral     0.10     0.10              fuchsia       rock       tiny             
Object:   OBJ00009   1912      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00010   1912      f1m   -50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00011   1912      c1t    10.00     animal     0.10     0.10                 cyan      moped       tiny             
Object:   OBJ00012   1912      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00013   1912      f1m   -50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00014   1912      drm   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00015   1912      f1m   -50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00016   1912      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00017   1912      fPs    50.00    mineral     1.00     1.00              fuchsia    pyramid      small             
Object:   OBJ00018   1912      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00019   1912      frt   -50.00    mineral     0.10     0.10              fuchsia       rock       tiny             
Object:   OBJ00020   1912      cPs    10.00    mineral     1.00     1.00                 cyan    pyramid      small             
Cell: 1913   1000.00      0.00    290.58 1932    0 1914 1912  rocks   wall  plain  plain
Object:   OBJ00021   1913      c1t   -50.00     animal     0.10     0.10                 cyan      moped       tiny             
Object:   OBJ00022   1913      c1m   -50.00     animal     5.00    10.00                 cyan      moped     medium             
Object:   OBJ00023   1913      fPs    50.00    mineral     1.00     1.00              fuchsia    pyramid      small             
Object:   OBJ00024   1913      c1s    10.00     animal     1.00     1.00                 cyan      moped      small             
Object:   OBJ00025   1913      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00026   1913      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00027   1913      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00028   1913      d1m   -50.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00029   1913      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00030   1913      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00031   1913      frm    50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00032   1913      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00033   1913      fPm   -50.00    mineral     5.00    10.00              fuchsia    pyramid     medium             
Object:   OBJ00034   1913      f1m   -50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00035   1913      c1t    10.00     animal     0.10     0.10                 cyan      moped       tiny             
Object:   OBJ00036   1913      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00037   1913      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00038   1913      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00039   1913      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00040   1913      c1m    10.00     animal     5.00    10.00                 cyan      moped     medium             
Cell: 1914   2000.00      0.00    314.79 1933    0 1915 1913  rocks   wall  plain  plain
Object:   OBJ00041   1914      crm   -50.00    mineral     5.00    10.00                 cyan       rock     medium             
Object:   OBJ00042   1914      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00043   1914      cPt   -50.00    mineral     0.10     0.10                 cyan    pyramid       tiny             
Object:   OBJ00044   1914      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00045   1914      fPs    50.00    mineral     1.00     1.00              fuchsia    pyramid      small             
Object:   OBJ00046   1914      fPm    50.00    mineral     5.00    10.00              fuchsia    pyramid     medium             
Object:   OBJ00047   1914      cPm    10.00    mineral     5.00    10.00                 cyan    pyramid     medium             
Object:   OBJ00048   1914      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00049   1914      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00050   1914      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00051   1914      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00052   1914      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00053   1914      crt   -50.00    mineral     0.10     0.10                 cyan       rock       tiny             
Object:   OBJ00054   1914      frm    50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00055   1914      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00056   1914      f1m    50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00057   1914      c1s    10.00     animal     1.00     1.00                 cyan      moped      small             
Object:   OBJ00058   1914      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
Object:   OBJ00059   1914      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00060   1914      fPs    50.00    mineral     1.00     1.00              fuchsia    pyramid      small             
Cell: 1915   3000.00      0.00   -133.12 1934    0 1916 1914    mud   wall    mud  plain
Object:   OBJ00061   1915      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00062   1915      fPs    50.00    mineral     1.00     1.00              fuchsia    pyramid      small             
Object:   OBJ00063   1915      f1t   -50.00     animal     0.10     0.10              fuchsia      moped       tiny             
Object:   OBJ00064   1915      f1s    50.00     animal     1.00     1.00              fuchsia      moped      small             
Object:   OBJ00065   1915      frm    50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00066   1915      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00067   1915      d1t   -50.00     animal     0.10     0.10        dayglo-orange      moped       tiny             
Object:   OBJ00068   1915      drt   -50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00069   1915      drm   -50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00070   1915      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00071   1915      c1m   -50.00     animal     5.00    10.00                 cyan      moped     medium             
Object:   OBJ00072   1915      f1s    50.00     animal     1.00     1.00              fuchsia      moped      small             
Object:   OBJ00073   1915      frm   -50.00    mineral     5.00    10.00              fuchsia       rock     medium             
Object:   OBJ00074   1915      c1s    10.00     animal     1.00     1.00                 cyan      moped      small             
Object:   OBJ00075   1915      dPm   -50.00    mineral     5.00    10.00        dayglo-orange    pyramid     medium             
Object:   OBJ00076   1915      f1m   -50.00     animal     5.00    10.00              fuchsia      moped     medium             
Object:   OBJ00077   1915      fPt   -50.00    mineral     0.10     0.10              fuchsia    pyramid       tiny             
