
#          title damage energy traversable is_fall
Interface: plain      0      0           1       0
Interface: rocks      1      0           1       0
Interface: mud        0      1           1       0
Interface: wall      10      1           0       0
Interface: cliff      0      0           1       1
Cell: 2049      0.00      0.00    294.79 2063    0 2050    0  plain   wall  plain   wall
Object:   OBJ00001   2049      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00002   2049      irm    10.00    mineral     5.00    10.00               indigo       rock     medium             
Object:   OBJ00003   2049      d1m    50.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00004   2049      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00005   2049      irs    10.00    mineral     1.00     1.00               indigo       rock      small             
Object:   OBJ00006   2049      arm    50.00    mineral     5.00    10.00                 aqua       rock     medium             
Object:   OBJ00007   2049      drm    10.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00008   2049      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00009   2049      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00010   2049      irm    10.00    mineral     5.00    10.00               indigo       rock     medium             
Object:   OBJ00011   2049      drs   -50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00012   2049      arm    50.00    mineral     5.00    10.00                 aqua       rock     medium             
Object:   OBJ00013   2049      d1s    10.00     animal     1.00     1.00        dayglo-orange      moped      small             
Object:   OBJ00014   2049      d1m    10.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00015   2049      i1m    10.00     animal     5.00    10.00               indigo      moped     medium             
Object:   OBJ00016   2049      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00017   2049      i1t    10.00     animal     0.10     0.10               indigo      moped       tiny             
Object:   OBJ00018   2049      art    50.00    mineral     0.10     0.10                 aqua       rock       tiny             
Object:   OBJ00019   2049      i1m    10.00     animal     5.00    10.00               indigo      moped     medium             
Object:   OBJ00020   2049      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Cell: 2050   1000.00      0.00    656.20 2064    0 2051 2049  plain   wall  plain  plain
Object:   OBJ00021   2050      a1s    50.00     animal     1.00     1.00                 aqua      moped      small             
Object:   OBJ00022   2050      irs    50.00    mineral     1.00     1.00               indigo       rock      small             
Object:   OBJ00023   2050      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00024   2050      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00025   2050      i1m    10.00     animal     5.00    10.00               indigo      moped     medium             
Object:   OBJ00026   2050      d1m    10.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00027   2050      art    50.00    mineral     0.10     0.10                 aqua       rock       tiny             
Object:   OBJ00028   2050      iBs    10.00      flora     1.00     1.00               indigo       bush      small             
Object:   OBJ00029   2050      art    50.00    mineral     0.10     0.10                 aqua       rock       tiny             
Object:   OBJ00030   2050      iBm    10.00      flora     5.00    10.00               indigo       bush     medium             
Object:   OBJ00031   2050      dBm    10.00      flora     5.00    10.00        dayglo-orange       bush     medium             
Object:   OBJ00032   2050      iBs    10.00      flora     1.00     1.00               indigo       bush      small             
Object:   OBJ00033   2050      arm    50.00    mineral     5.00    10.00                 aqua       rock     medium             
Object:   OBJ00034   2050      d1m    10.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00035   2050      drs    50.00    mineral     1.00     1.00        dayglo-orange       rock      small             
Object:   OBJ00036   2050      irs    10.00    mineral     1.00     1.00               indigo       rock      small             
Object:   OBJ00037   2050      iBs    10.00      flora     1.00     1.00               indigo       bush      small             
Object:   OBJ00038   2050      dBs    10.00      flora     1.00     1.00        dayglo-orange       bush      small             
Object:   OBJ00039   2050      d1m    10.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00040   2050      iBs    10.00      flora     1.00     1.00               indigo       bush      small             
Cell: 2051   2000.00      0.00    296.84 2065    0 2052 2050  plain   wall  plain  plain
Object:   OBJ00041   2051      iBt    10.00      flora     0.10     0.10               indigo       bush       tiny             
Object:   OBJ00042   2051      i1m   -50.00     animal     5.00    10.00               indigo      moped     medium             
Object:   OBJ00043   2051      arm    50.00    mineral     5.00    10.00                 aqua       rock     medium             
Object:   OBJ00044   2051      irs    10.00    mineral     1.00     1.00               indigo       rock      small             
Object:   OBJ00045   2051      drt    50.00    mineral     0.10     0.10        dayglo-orange       rock       tiny             
Object:   OBJ00046   2051      d1m    10.00     animal     5.00    10.00        dayglo-orange      moped     medium             
Object:   OBJ00047   2051      drm    50.00    mineral     5.00    10.00        dayglo-orange       rock     medium             
Object:   OBJ00048   2051      i1t    10.00     animal     0.10     0.10               indigo      moped       tiny             
Object:   OBJ00049   2051      iBs    10.00      flora     1.00     1.00               indigo       bush      small             
Object:   OBJ00050   2051      a1m    50.00     animal     5.00    10.00                 aqua      moped     medium             
